TaxiPassangerPredictionExperiment637837599358625914.txt
******Sequence Starting*****
Cycle : 88 	  Accuracy:100 	 Number of times repeated 28
Cycle : 89 	  Accuracy:100 	 Number of times repeated 29
Cycle : 90 	  Accuracy:100 	 Number of times repeated 30
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :25 	 
cycle : 2 	 Accuracy :29.166666666666668 	 
cycle : 3 	 Accuracy :33.33333333333333 	 
Cycle: 4 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
cycle : 5 	 Accuracy :45.83333333333333 	 
cycle : 6 	 Accuracy :33.33333333333333 	 
cycle : 7 	 Accuracy :37.5 	 
cycle : 8 	 Accuracy :33.33333333333333 	 
cycle : 9 	 Accuracy :37.5 	 
cycle : 10 	 Accuracy :33.33333333333333 	 
cycle : 11 	 Accuracy :37.5 	 
cycle : 12 	 Accuracy :41.66666666666667 	 
Cycle: 13 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 14 	 Accuracy :45.83333333333333 	 
cycle : 15 	 Accuracy :33.33333333333333 	 
cycle : 16 	 Accuracy :45.83333333333333 	 
Cycle: 17 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 18 	 Accuracy :50 	 
cycle : 19 	 Accuracy :41.66666666666667 	 
cycle : 20 	 Accuracy :45.83333333333333 	 
Cycle: 21 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 22 	 Accuracy :50 	 
cycle : 23 	 Accuracy :45.83333333333333 	 
cycle : 24 	 Accuracy :54.166666666666664 	 
cycle : 25 	 Accuracy :50 	 
Cycle: 26 	 Saturated Accuracy : 50 	 Number of times repeated 1
cycle : 27 	 Accuracy :54.166666666666664 	 
cycle : 28 	 Accuracy :50 	 
cycle : 29 	 Accuracy :54.166666666666664 	 
cycle : 30 	 Accuracy :50 	 
Cycle: 31 	 Saturated Accuracy : 50 	 Number of times repeated 1
Cycle: 32 	 Saturated Accuracy : 50 	 Number of times repeated 2
cycle : 33 	 Accuracy :45.83333333333333 	 
cycle : 34 	 Accuracy :54.166666666666664 	 
cycle : 35 	 Accuracy :58.333333333333336 	 
cycle : 36 	 Accuracy :66.66666666666666 	 
cycle : 37 	 Accuracy :62.5 	 
Cycle: 38 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 39 	 Accuracy :70.83333333333334 	 
cycle : 40 	 Accuracy :66.66666666666666 	 
cycle : 41 	 Accuracy :70.83333333333334 	 
cycle : 42 	 Accuracy :66.66666666666666 	 
Cycle: 43 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
Cycle: 44 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 2
Cycle: 45 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 3
cycle : 46 	 Accuracy :70.83333333333334 	 
cycle : 47 	 Accuracy :66.66666666666666 	 
Cycle: 48 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 49 	 Accuracy :62.5 	 
Cycle: 50 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 51 	 Accuracy :58.333333333333336 	 
cycle : 52 	 Accuracy :62.5 	 
cycle : 53 	 Accuracy :54.166666666666664 	 
Cycle: 54 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 1
Cycle: 55 	 Saturated Accuracy : 54.166666666666664 	 Number of times repeated 2
cycle : 56 	 Accuracy :58.333333333333336 	 
Cycle: 57 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
cycle : 58 	 Accuracy :62.5 	 
Cycle: 59 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 60 	 Accuracy :58.333333333333336 	 
Cycle: 61 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
cycle : 62 	 Accuracy :62.5 	 
Cycle: 63 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
Cycle: 64 	 Saturated Accuracy : 62.5 	 Number of times repeated 2
Cycle: 65 	 Saturated Accuracy : 62.5 	 Number of times repeated 3
Cycle: 66 	 Saturated Accuracy : 62.5 	 Number of times repeated 4
Cycle: 67 	 Saturated Accuracy : 62.5 	 Number of times repeated 5
Cycle: 68 	 Saturated Accuracy : 62.5 	 Number of times repeated 6
Cycle: 69 	 Saturated Accuracy : 62.5 	 Number of times repeated 7
cycle : 70 	 Accuracy :66.66666666666666 	 
Cycle: 71 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 72 	 Accuracy :62.5 	 
Cycle: 73 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 74 	 Accuracy :66.66666666666666 	 
cycle : 75 	 Accuracy :62.5 	 
cycle : 76 	 Accuracy :66.66666666666666 	 
cycle : 77 	 Accuracy :58.333333333333336 	 
cycle : 78 	 Accuracy :66.66666666666666 	 
Cycle: 79 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 80 	 Accuracy :62.5 	 
cycle : 81 	 Accuracy :58.333333333333336 	 
cycle : 82 	 Accuracy :66.66666666666666 	 
cycle : 83 	 Accuracy :58.333333333333336 	 
cycle : 84 	 Accuracy :62.5 	 
cycle : 85 	 Accuracy :58.333333333333336 	 
cycle : 86 	 Accuracy :70.83333333333334 	 
cycle : 87 	 Accuracy :62.5 	 
cycle : 88 	 Accuracy :66.66666666666666 	 
cycle : 89 	 Accuracy :62.5 	 
cycle : 90 	 Accuracy :66.66666666666666 	 
cycle : 91 	 Accuracy :62.5 	 
Cycle: 92 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 93 	 Accuracy :66.66666666666666 	 
Cycle: 94 	 Saturated Accuracy : 66.66666666666666 	 Number of times repeated 1
cycle : 95 	 Accuracy :62.5 	 
Cycle: 96 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 97 	 Accuracy :66.66666666666666 	 
cycle : 98 	 Accuracy :75 	 
cycle : 99 	 Accuracy :66.66666666666666 	 
cycle : 100 	 Accuracy :70.83333333333334 	 
cycle : 101 	 Accuracy :62.5 	 
Cycle: 102 	 Saturated Accuracy : 62.5 	 Number of times repeated 1
cycle : 103 	 Accuracy :75 	 
cycle : 104 	 Accuracy :70.83333333333334 	 
Cycle: 105 	 Saturated Accuracy : 70.83333333333334 	 Number of times repeated 1
